127.0.0.1 - - [23/Jul/2024:14:32:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:18 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:18 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:51 +0530] "GET /ORS_Project4/doc/resources/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:32:58 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/BaseBean.html HTTP/1.1" 200 19972
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/BaseBean.html HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:33:01 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/CollegeBean.html HTTP/1.1" 200 19820
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:38:57 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:04 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:04 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:04 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:04 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:04 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:53 +0530] "GET /ORS_Project4/doc/jquery/images/ui-bg_glass_65_dadada_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:59 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:59 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:59 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:59 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:40:59 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 892
